"all_riders" "rider_class" "stage" "points" "stage_class"
"Tadej Pogačar" "All Rounder" "X1" 15 "flat"
"Tadej Pogačar" "All Rounder" "X2" 219 "hills"
"Tadej Pogačar" "All Rounder" "X3" 34 "flat"
"Tadej Pogačar" "All Rounder" "X4" 264 "hills"
"Tadej Pogačar" "All Rounder" "X6" 114 "hills"
"Tadej Pogačar" "All Rounder" "X7" 274 "hills"
"Tadej Pogačar" "All Rounder" "X8" 50 "flat"
"Tadej Pogačar" "All Rounder" "X9" 50 "flat"
"Tadej Pogačar" "All Rounder" "X10" 109 "hills"
"Tadej Pogačar" "All Rounder" "X11" 39 "hills"
"Tadej Pogačar" "All Rounder" "X12" 304 "mount"
"Tadej Pogačar" "All Rounder" "X14" 255 "mount"
"Tadej Pogačar" "All Rounder" "X15" 58 "hills"
"Tadej Pogačar" "All Rounder" "X16" 184 "mount"
"Tadej Pogačar" "All Rounder" "X17" 54 "flat"
"Tadej Pogačar" "All Rounder" "X18" 284 "mount"
"Tadej Pogačar" "All Rounder" "X19" 234 "mount"
"Tadej Pogačar" "All Rounder" "X20" 54 "hills"
"Tadej Pogačar" "All Rounder" "X21" 194 "flat"
"Jonas Vingegaard" "All Rounder" "X1" 13 "flat"
"Jonas Vingegaard" "All Rounder" "X2" 190 "hills"
"Jonas Vingegaard" "All Rounder" "X3" 30 "flat"
"Jonas Vingegaard" "All Rounder" "X4" 196 "hills"
"Jonas Vingegaard" "All Rounder" "X6" 85 "hills"
"Jonas Vingegaard" "All Rounder" "X7" 212 "hills"
"Jonas Vingegaard" "All Rounder" "X8" 34 "flat"
"Jonas Vingegaard" "All Rounder" "X9" 30 "flat"
"Jonas Vingegaard" "All Rounder" "X10" 94 "hills"
"Jonas Vingegaard" "All Rounder" "X11" 26 "hills"
"Jonas Vingegaard" "All Rounder" "X12" 243 "mount"
"Jonas Vingegaard" "All Rounder" "X14" 219 "mount"
"Jonas Vingegaard" "All Rounder" "X15" 43 "hills"
"Jonas Vingegaard" "All Rounder" "X16" 156 "mount"
"Jonas Vingegaard" "All Rounder" "X17" 40 "flat"
"Jonas Vingegaard" "All Rounder" "X18" 256 "mount"
"Jonas Vingegaard" "All Rounder" "X19" 251 "mount"
"Jonas Vingegaard" "All Rounder" "X20" 46 "hills"
"Jonas Vingegaard" "All Rounder" "X21" 54 "flat"
"Remco Evenepoel" "All Rounder" "X1" 0 "flat"
"Remco Evenepoel" "All Rounder" "X2" 19 "hills"
"Remco Evenepoel" "All Rounder" "X3" 8 "flat"
"Remco Evenepoel" "All Rounder" "X4" 107 "hills"
"Remco Evenepoel" "All Rounder" "X6" 62 "hills"
"Remco Evenepoel" "All Rounder" "X7" 136 "hills"
"Remco Evenepoel" "All Rounder" "X8" 26 "flat"
"Remco Evenepoel" "All Rounder" "X9" 34 "flat"
"Remco Evenepoel" "All Rounder" "X10" 57 "hills"
"Remco Evenepoel" "All Rounder" "X11" 22 "hills"
"Remco Evenepoel" "All Rounder" "X12" 121 "mount"
"Remco Evenepoel" "All Rounder" "X14" 0 "mount"
"Remco Evenepoel" "All Rounder" "X15" 0 "hills"
"Remco Evenepoel" "All Rounder" "X16" 0 "mount"
"Remco Evenepoel" "All Rounder" "X17" 0 "flat"
"Remco Evenepoel" "All Rounder" "X18" 0 "mount"
"Remco Evenepoel" "All Rounder" "X19" 0 "mount"
"Remco Evenepoel" "All Rounder" "X20" 0 "hills"
"Remco Evenepoel" "All Rounder" "X21" 0 "flat"
"João Almeida" "All Rounder" "X1" 0 "flat"
"João Almeida" "All Rounder" "X2" 41 "hills"
"João Almeida" "All Rounder" "X3" 10 "flat"
"João Almeida" "All Rounder" "X4" 137 "hills"
"João Almeida" "All Rounder" "X6" 22 "hills"
"João Almeida" "All Rounder" "X7" 20 "hills"
"João Almeida" "All Rounder" "X8" 12 "flat"
"João Almeida" "All Rounder" "X9" 12 "flat"
"João Almeida" "All Rounder" "X10" 0 "hills"
"João Almeida" "All Rounder" "X11" 0 "hills"
"João Almeida" "All Rounder" "X12" 0 "mount"
"João Almeida" "All Rounder" "X14" 0 "mount"
"João Almeida" "All Rounder" "X15" 0 "hills"
"João Almeida" "All Rounder" "X16" 0 "mount"
"João Almeida" "All Rounder" "X17" 0 "flat"
"João Almeida" "All Rounder" "X18" 0 "mount"
"João Almeida" "All Rounder" "X19" 0 "mount"
"João Almeida" "All Rounder" "X20" 0 "hills"
"João Almeida" "All Rounder" "X21" 0 "flat"
"Primož Roglič" "All Rounder" "X1" 0 "flat"
"Primož Roglič" "All Rounder" "X2" 0 "hills"
"Primož Roglič" "All Rounder" "X3" 0 "flat"
"Primož Roglič" "All Rounder" "X4" 20 "hills"
